Region,Tether: (1/1/13 - 6/5/20),Tezos: (1/1/13 - 6/5/20),stellar crypto: (1/1/13 - 6/5/20),ripple crypto: (1/1/13 - 6/5/20),litecoin: (1/1/13 - 6/5/20),Ethereum: (1/1/13 - 6/5/20),EOS crypto: (1/1/13 - 6/5/20),bitcoin cash: (1/1/13 - 6/5/20),bitcoin: (1/1/13 - 6/5/20),binance coin: (1/1/13 - 6/5/20),bitcoin sv: (1/1/13 - 6/5/20)
Michigan,100,33,65,64,70,52,55,68,65,54,45
Washington,86,60,97,87,100,92,85,90,94,78,63
California,85,97,95,100,99,100,100,97,100,100,87
Nevada,75,73,96,0,93,76,0,100,98,79,100
New York,73,78,77,88,90,89,70,86,89,83,62
Alaska,68,0,0,0,85,59,0,70,75,62,0
Massachusetts,68,76,83,70,80,76,54,71,77,62,66
Hawaii,68,37,100,0,57,62,0,72,95,77,0
Rhode Island,68,31,0,0,77,57,0,57,64,52,0
Colorado,67,66,79,70,84,79,69,77,83,65,66
Montana,67,0,0,0,67,55,0,60,71,41,0
Utah,67,100,74,0,96,77,0,67,90,67,73
New Jersey,66,60,77,91,96,82,61,85,88,94,71
District of Columbia,65,53,57,0,44,59,0,46,56,35,15
Maryland,65,47,72,75,74,64,48,70,71,72,34
Illinois,64,55,70,76,82,66,63,72,76,72,54
Delaware,64,0,0,0,68,55,0,69,63,55,0
Oregon,64,44,66,0,77,59,70,65,68,74,60
Minnesota,63,45,64,0,70,52,54,56,66,47,36
Idaho,62,22,0,0,78,55,0,57,70,53,0
Arizona,61,60,70,0,78,61,67,70,75,64,57
Florida,61,58,69,77,85,62,59,83,78,79,62
Connecticut,61,47,36,0,85,69,0,72,79,63,59
Virginia,61,42,65,62,69,69,45,60,61,58,42
Texas,60,46,52,59,65,55,37,62,62,55,48
New Hampshire,59,72,63,0,77,62,0,71,72,60,0
Kansas,59,22,20,0,54,41,0,50,53,42,36
Missouri,58,43,59,0,61,42,0,59,56,45,37
Tennessee,56,35,44,0,54,41,0,55,52,51,46
Arkansas,56,25,71,0,48,33,0,73,50,34,0
Ohio,56,38,43,57,67,45,40,57,60,48,45
Pennsylvania,55,42,62,65,74,55,44,62,65,58,51
Iowa,55,40,48,0,54,39,0,46,54,34,24
Georgia,54,33,46,50,59,45,33,64,59,52,30
Indiana,54,30,57,0,58,40,0,51,57,46,29
North Carolina,54,37,55,57,62,47,28,56,58,44,52
Alabama,53,41,45,0,50,35,0,53,49,38,29
Wisconsin,53,29,62,0,56,42,0,47,58,40,51
West Virginia,53,0,0,0,45,26,0,39,42,45,0
Kentucky,52,30,19,0,44,33,0,46,46,32,36
New Mexico,51,48,0,0,62,44,0,57,57,53,0
Mississippi,51,0,0,0,38,26,0,50,40,31,0
Maine,50,41,0,0,63,43,0,46,57,60,0
Nebraska,50,53,0,0,53,40,0,44,59,45,53
Oklahoma,49,48,39,0,50,34,0,47,49,30,51
Louisiana,49,32,42,0,52,39,0,54,50,41,24
South Carolina,44,35,39,0,52,37,0,56,48,41,29
North Dakota,0,0,0,0,70,53,0,47,65,52,0
Wyoming,0,0,0,0,39,39,0,56,58,0,0
South Dakota,0,0,0,0,58,38,0,42,54,25,0
Vermont,0,0,0,0,54,51,0,54,65,40,0
